id,movie_title,rating,year,rank,star_cast,newtitle
1,The Shawshank Redemption,9.234909278,1994,1,Frank Darabont (dir.); Tim Robbins; Morgan Freeman,KGF Chapter 2
2,The Godfather,9.156245815,1972,2,Francis Ford Coppola (dir.); Marlon Brando; Al Pacino,Dangal
3,The Dark Knight,8.988740775,2008,3,Christopher Nolan (dir.); Christian Bale; Heath Ledger,Sanju
4,The Godfather Part II,8.984204235,1974,4,Francis Ford Coppola (dir.); Al Pacino; Robert De Niro,PK
5,12 Angry Men,8.950411064,1957,5,Sidney Lumet (dir.); Henry Fonda; Lee J. Cobb,Tiger Zinda Hai
6,Schindler's List,8.937518026,1993,6,Steven Spielberg (dir.); Liam Neeson; Ralph Fiennes,Bajrangi Bhaijaan
7,The Lord of the Rings: The Return of the King,8.927538515,2003,7,Peter Jackson (dir.); Elijah Wood; Viggo Mortensen,War
8,Pulp Fiction,8.848576771,1994,8,Quentin Tarantino (dir.); John Travolta; Uma Thurman,Padmaavat
9,The Lord of the Rings: The Fellowship of the Ring,8.807800701,2001,9,Peter Jackson (dir.); Elijah Wood; Ian McKellen,Sultan
10, Il buono; il brutto; il cattivo,8.791309559,1966,10,Sergio Leone (dir.); Clint Eastwood; Eli Wallach,Kabir Singh
11,Forrest Gump,8.767629109,1994,11,Robert Zemeckis (dir.); Tom Hanks; Robin Wright,Tanhaji: The Unsung Warrior
12,Fight Club,8.748816324,1999,12,David Fincher (dir.); Brad Pitt; Edward Norton,Dhoom 3
13,Inception,8.73323468,2010,13,Christopher Nolan (dir.); Leonardo DiCaprio; Joseph Gordon-Levitt,RRR
14,The Lord of the Rings: The Two Towers,8.732878234,2002,14,Peter Jackson (dir.); Elijah Wood; Ian McKellen,The Kashmir Files
15,The Empire Strikes Back,8.700027304,1980,15,Irvin Kershner (dir.); Mark Hamill; Harrison Ford,Brahmastra Part One: Shiva
16,The Matrix,8.669798263,1999,16,Lana Wachowski (dir.); Keanu Reeves; Laurence Fishburne,URI The Surgical Strike
17,Goodfellas,8.652047851,1990,17,Martin Scorsese (dir.); Robert De Niro; Ray Liotta,Simmba
18,One Flew Over the Cuckoo's Nest,8.63962185,1975,18,Milos Forman (dir.); Jack Nicholson; Louise Fletcher,Kick
19,Se7en,8.604249647,1995,19,David Fincher (dir.); Morgan Freeman; Brad Pitt,Krrish 3
20,Shichinin no samurai,8.59908872,1954,20,Akira Kurosawa (dir.); Toshirô Mifune; Takashi Shimura,Chennai Express
21,It's a Wonderful Life,8.595611115,1946,21,Frank Capra (dir.); James Stewart; Donna Reed,Bharat
22,The Silence of the Lambs,8.58811871,1991,22,Jonathan Demme (dir.); Jodie Foster; Anthony Hopkins,Housefull 4
23,Cidade de Deus,8.579576524,2002,23,Fernando Meirelles (dir.); Alexandre Rodrigues; Leandro Firmino,Prem Ratan Dhan Payo
24,Saving Private Ryan,8.578590272,1998,24,Steven Spielberg (dir.); Tom Hanks; Matt Damon,Golmaal Again
